Date,Open,High,Low,Close
2025.04.21 23:01,4796.81500,4796.81500,4796.22300,4796.22300
2025.04.21 23:02,4796.20700,4796.20700,4795.51900,4795.51900
2025.04.21 23:03,4795.51400,4795.51400,4795.09100,4795.09100
2025.04.21 23:04,4795.07900,4795.07900,4794.58300,4794.58300
2025.04.21 23:05,4794.57200,4794.57200,4793.96600,4793.96600
2025.04.21 23:06,4793.94900,4793.94900,4793.35400,4793.35400
2025.04.21 23:07,4793.34500,4793.34500,4792.90800,4792.90800
2025.04.21 23:08,4792.89500,4792.89500,4792.37300,4792.37300
2025.04.21 23:09,4792.37000,4792.37000,4791.82600,4791.82600
2025.04.21 23:10,4791.81300,4792.74700,4791.54200,4792.44100
2025.04.21 23:11,4792.43800,4792.43800,4791.87600,4791.87600
2025.04.21 23:12,4791.87000,4791.87000,4791.28300,4791.28300
2025.04.21 23:13,4791.27000,4791.27000,4790.66800,4790.66800
2025.04.21 23:14,4790.66700,4790.66700,4790.17000,4790.17000
2025.04.21 23:15,4790.16200,4790.16200,4789.61200,4789.61200
2025.04.21 23:16,4789.60400,4789.60400,4789.06700,4789.06700
2025.04.21 23:17,4789.06100,4789.06100,4788.49700,4788.49700
2025.04.21 23:18,4788.48000,4788.48000,4788.00600,4788.00600
2025.04.21 23:19,4788.00500,4788.00500,4787.38200,4787.38200
2025.04.21 23:20,4787.37700,4787.37700,4786.83300,4786.83300
2025.04.21 23:21,4786.82600,4786.82600,4786.22500,4786.22500
2025.04.21 23:22,4786.21500,4786.21500,4785.65200,4785.65200
2025.04.21 23:23,4785.63000,4785.63000,4785.03300,4785.03300
2025.04.21 23:24,4785.03300,4786.52300,4784.84600,4786.11400
2025.04.21 23:25,4786.09600,4786.09600,4785.37600,4785.37600
2025.04.21 23:26,4785.36600,4785.36600,4784.80700,4784.80700
2025.04.21 23:27,4784.79600,4784.79600,4784.28200,4784.28200
2025.04.21 23:28,4784.26500,4784.26500,4783.69800,4783.69800
2025.04.21 23:29,4783.66700,4786.79600,4783.53600,4786.31100
2025.04.21 23:30,4786.30600,4786.30600,4785.76200,4785.76200
2025.04.21 23:31,4785.75100,4785.75100,4785.22300,4785.22300
2025.04.21 23:32,4785.22000,4785.22000,4784.72800,4784.72800
2025.04.21 23:33,4784.71300,4784.71300,4784.15000,4784.15000
2025.04.21 23:34,4784.13200,4784.13200,4783.59300,4783.59300
2025.04.21 23:35,4783.57500,4783.57500,4783.02200,4783.02200
2025.04.21 23:36,4783.00600,4783.00600,4782.36000,4782.36000
2025.04.21 23:37,4782.34200,4782.34200,4781.86400,4781.86400
2025.04.21 23:38,4781.86200,4781.86200,4781.38200,4781.38200
2025.04.21 23:39,4781.37500,4781.37500,4780.80100,4780.80100
2025.04.21 23:40,4780.79400,4780.79400,4780.25500,4780.25500
2025.04.21 23:41,4780.24200,4780.24200,4779.76500,4779.76500
2025.04.21 23:42,4779.75300,4781.64500,4779.51700,4781.31900
2025.04.21 23:43,4781.31300,4781.31300,4780.73900,4780.73900
2025.04.21 23:44,4780.73000,4780.73000,4780.06700,4780.06700
2025.04.21 23:45,4780.05000,4780.05000,4779.45200,4779.45200
2025.04.21 23:46,4779.45100,4779.45100,4778.91900,4778.91900
2025.04.21 23:47,4778.91400,4778.91400,4778.35900,4778.35900
2025.04.21 23:48,4778.35200,4778.35200,4777.82100,4777.82100
2025.04.21 23:49,4777.81400,4777.81400,4777.24800,4777.24800
2025.04.21 23:50,4777.24400,4777.24400,4776.61300,4776.61300
2025.04.21 23:51,4776.61000,4776.61000,4776.00900,4776.00900
2025.04.21 23:52,4776.00700,4776.97200,4775.77900,4776.56800
2025.04.21 23:53,4776.55600,4776.55600,4775.93700,4775.93700
2025.04.21 23:54,4775.92800,4780.06700,4775.74300,4779.76000
2025.04.21 23:55,4779.73500,4779.73500,4779.12000,4779.12000
2025.04.21 23:56,4779.10100,4779.10100,4778.54100,4778.54100
2025.04.21 23:57,4778.52900,4778.52900,4777.95400,4777.95400
2025.04.21 23:58,4777.94200,4777.94200,4777.33600,4777.33600
2025.04.21 23:59,4777.30700,4781.11400,4777.23500,4780.63400
2025.04.22 00:00,4780.61700,4780.61700,4780.06400,4780.06400
2025.04.22 00:01,4780.05000,4780.05000,4780.05000,4780.05000
